answer_form,model,tier,qid,question,gold,model_answer,automated_correct,grader,manual_correct,disagreement_note
entity,qwen2.5-3b-instruct,R1,R1-3522454,Who was the director of Blade?,Stephen Norrington,Whittaker,False,alias_exact,,
entity,qwen2.5-1.5b-instruct,R1,R1-1023183,What is Phoenix the capital of?,Arizona,Arizona,True,alias_exact,,
entity,qwen2.5-3b-instruct,R1,R1-1260784,What is Dublin the capital of?,Kingdom of Ireland,Ireland,True,alias_exact,,
entity,qwen2.5-1.5b-instruct,R1,R1-3682392,Who was the screenwriter for Equilibrium?,Kurt Wimmer,Michael Apted,False,alias_exact,,
entity,qwen2.5-7b-instruct,R1,R1-3391317,What genre is Mario franchise?,role-playing video game,Platformer,False,alias_exact,,
entity,qwen2.5-1.5b-instruct,R1,R1-4631,Who was the producer of Frequency?,Toby Emmerich,Bob Rock,False,alias_exact,,
entity,qwen2.5-3b-instruct,R1,R1-383822,Who was the producer of Gladiator?,Ridley Scott,Gordon Carroll,False,alias_exact,,
entity,qwen2.5-3b-instruct,R1,R1-5715178,Who was the producer of Sphere?,Michael Crichton,Kurtzman Brothers,False,alias_exact,,
entity,qwen2.5-3b-instruct,R1,R1-3025283,What is Seungri's occupation?,actor,Singer,False,alias_exact,,
entity,qwen2.5-1.5b-instruct,R1,R1-1562677,Who was the composer of The Last of Us?,Gustavo Santaolalla,Naughty Dog,False,alias_exact,,
entity,qwen2.5-7b-instruct,R1,R1-4812412,Who was the screenwriter for Young Sherlock Holmes?,Chris Columbus,Richard Matheson,False,alias_exact,,
entity,qwen2.5-7b-base,R2,R2-3268293,In what country is Alder?,United States of America,Forrest G,False,alias_exact,,
entity,qwen2.5-3b-instruct,R1,R1-1223420,What is Vienna the capital of?,Holy Roman Empire,Austria,True,alias_exact,,
entity,qwen2.5-0.5b-instruct,R2,R2-4263382,Who is the author of Good Value?,"Stephen Green, Baron Green of Hurstpierpoint",John B. Stiglitz,False,alias_exact,,
entity,qwen2.5-1.5b-instruct,R1,R1-4608347,Who was the screenwriter for Saw?,Leigh Whannell,Paul Wernick,False,alias_exact,,
entity,qwen2.5-3b-instruct,R1,R1-1782552,What is the capital of Georgia?,Kutaisi,Tbilisi,True,alias_exact,,
entity,qwen2.5-1.5b-instruct,R1,R1-1507294,What color is Charlton Athletic F.C.?,red,Blue,False,alias_exact,,
entity,qwen2.5-7b-base,R2,R2-6213518,Who is the author of World of Wonder?,Fletcher Pratt,Holden Caul,False,alias_exact,,
entity,qwen2.5-7b-instruct,R1,R1-787180,Who was the composer of The Raid?,Mike Shinoda,Ivica Dudek,False,alias_exact,,
entity,qwen2.5-3b-instruct,R1,R1-6297574,Who is the mother of Horus?,Isis,Isis,True,alias_exact,,
entity,qwen2.5-1.5b-instruct,R1,R1-3188789,Who was the director of Phenomenon?,Jon Turteltaub,John Hughes,False,alias_exact,,
entity,qwen2.5-3b-instruct,R1,R1-515154,Who was the composer of Once?,Glen Hansard,Hans Zimmer,False,alias_exact,,
entity,qwen2.5-3b-instruct,R1,R1-2440722,What is the religion of Cao Wei?,Taoism,Taoism,True,alias_exact,,
entity,qwen2.5-7b-instruct,R1,R1-4877533,Who was the producer of Marvel Cinematic Universe?,Kevin Feige,Kevin Feige,True,alias_exact,,
